Precincts,Borough,Asian_Population,2021_S1,2021_S2,2021_S3,2021_S4,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,FELONY_2021_S1,FELONY_2021_S2,FELONY_2021_S3,FELONY_2021_S4,MISDEMEANDOR_2021_S1,MISDEMEANDOR_2021_S2,MISDEMEANDOR_2021_S3,MISDEMEANDOR_2021_S4,VIOLATION_2021_S1,VIOLATION_2021_S2,VIOLATION_2021_S3,VIOLATION_2021_S4,FELONY_2020,FELONY_2019,FELONY_2018,FELONY_2017,FELONY_2016,FELONY_2015,FELONY_2014,FELONY_2013,FELONY_2012,FELONY_2011,FELONY_2010,MISDEMEANDOR_2020,MISDEMEANDOR_2019,MISDEMEANDOR_2018,MISDEMEANDOR_2017,MISDEMEANDOR_2016,MISDEMEANDOR_2015,MISDEMEANDOR_2014,MISDEMEANDOR_2013,MISDEMEANDOR_2012,MISDEMEANDOR_2011,MISMEANDOR_2010,VIOLATION_2020,VIOLATION_2019,VIOLATION_2018,VIOLATION_2017,VIOLATION_2016,VIOLATION_2015,VIOLATION_2014,VIOLATION_2013,VIOLATION_2012,VIOLATION_2011,VIOLATION_2010
52,BRONX,10244,6.149941429,7.809449434,9.566575556,5.368996486,0.390472472,0.097618118,0,0,0,0,0.097618118,0,0,0,0,2.245216712,2.83092542,3.026161656,1.757126123,2.928543538,3.611870363,4.392815307,3.026161656,1.269035533,1.366653651,2.245216712,0.780944943,0.292854354,0.097618118,0,0,0,0,0,0,0.097618118,0,0,0.097618118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,BROOKLYN,18049,4.487783257,6.094520472,6.316139398,6.03911574,0.997285168,0.110809463,0.055404732,0.055404732,0,0.110809463,0,0,0,0,0,1.385118289,2.049975068,2.382403457,2.326998726,2.326998726,2.770236578,2.770236578,2.714831847,0.831070973,1.329713558,1.274308826,1.274308826,0.72026151,0.055404732,0.055404732,0.055404732,0,0.055404732,0,0,0,0,0,0.221618926,0.055404732,0,0,0,0.055404732,0,0,0,0,0,0.055404732,0,0,0,0,0,0,0,0,0,0
61,BROOKLYN,34533,2.287666869,2.982654273,3.648683868,3.561810442,0.086873425,0,0,0,0,0,0,0,0,0,0,0.984565488,1.187270147,1.621637274,1.361016998,1.071438914,1.621637274,1.7085107,1.969130976,0.260620276,0.231662468,0.492282744,0.434367127,0,0,0,0,0,0,0,0,0,0,0,0.057915617,0,0,0,0,0,0,0.028957808,0,0,0,0.028957808,0,0,0,0,0,0,0,0,0,0
62,BROOKLYN,86466,3.168875627,3.538963292,3.400180418,3.203571346,0.254435269,0.057826198,0.01156524,0,0,0,0.01156524,0,0.01156524,0,0,1.179654431,1.214350149,1.179654431,1.237480628,1.538176856,1.538176856,1.549742095,1.572872574,0.48574006,0.832697245,0.798001527,0.693914371,0.115652395,0.034695719,0.01156524,0,0,0,0,0,0,0,0,0.115652395,0.023130479,0,0,0,0,0,0,0,0,0,0.023130479,0,0,0,0,0,0,0,0,0,0
63,BROOKLYN,8665,4.500865551,4.039238315,5.654933641,6.001154068,1.038661281,0.230813618,0,0,0,0,0,0,0.115406809,0,0,1.731102135,1.269474899,2.192729371,2.077322562,1.615695326,2.077322562,2.538949798,2.885170225,1.15406809,0.692440854,1.15406809,1.500288517,0.692440854,0.230813618,0,0,0,0,0,0,0,0.115406809,0,0.346220427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,BROOKLYN,42477,4.02570803,3.672575747,4.990936271,4.684888292,0.047084304,0,0,0,0,0,0,0,0,0,0,1.742119265,1.977540787,2.307130918,2.471925983,1.718577112,1.459613438,2.236504461,1.836287873,0.682722414,0.400216588,0.517927349,0.588553806,0.023542152,0,0,0,0,0,0,0,0,0,0,0.023542152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,BROOKLYN,3090,11.65048544,18.77022654,22.00647249,15.53398058,7.1197411,0.970873786,0.323624595,0,0,0.323624595,0,0.323624595,0,0,0,3.883495146,6.472491909,9.708737864,7.443365696,6.148867314,8.414239482,8.090614887,4.530744337,2.265372168,3.883495146,4.207119741,4.207119741,3.236245955,0.970873786,0.323624595,0,0,0.323624595,0,0,0,0,0,3.55987055,0,0,0,0,0,0,0,0.323624595,0,0,0.323624595,0,0,0,0,0,0,0,0,0,0
68,BROOKLYN,36818,3.259275354,4.128415449,4.400021729,4.182736705,0.027160628,0,0,0,0,0,0,0,0,0,0,1.167907002,1.738280189,1.738280189,1.629637677,1.846922701,1.846922701,2.172850236,2.553099028,0.407409419,0.570373187,0.651855071,0.407409419,0.027160628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,BROOKLYN,1900,5.789473684,15.78947368,9.473684211,13.68421053,4.210526316,2.105263158,0,0.526315789,0,0,0,0,0,0,0,1.052631579,2.631578947,4.736842105,3.684210526,3.684210526,6.315789474,2.631578947,6.315789474,1.052631579,6.842105263,2.105263158,3.684210526,2.631578947,1.578947368,0,0,0,0,0.526315789,0,0,0,0,1.052631579,0.526315789,0,0.526315789,0,0,0,0,0,0,0,0.526315789,0,0,0,0,0,0,0,0,0,0
70,BROOKLYN,21485,6.190365371,5.21293926,6.469629974,6.609262276,0.093088201,0,0,0,0,0,0,0,0,0.046544101,0,2.420293228,1.76867582,2.373749127,2.885734233,2.839190133,2.60646963,2.978822434,3.118454736,1.023970212,0.83779381,1.163602513,1.023970212,0.046544101,0,0,0,0,0,0.046544101,0,0,0,0,0.046544101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
